zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
99156,7,1997,875054,875085,1,2710,322.91,1,3,3,2,2,29,-31,1,0
99006,7,1909,349989,347902,0.99,1460,238.29,2,3,2,2,2,117,2087,1.01,0.01
98843,7,2017,1222787,1462187.5,0.98,3770,673.72,2,4,4,1,2,9,43901,0.84,-0.16
98311,7,1990,749072,744599,0.99,3865,175.2,2,3,4,1,2,36,4473,1.01,0.01
98102,7,1926,1222787,1462187.5,1,3500,511.45,2,3,3,1,2,100,-4,0.84,-0.16
98406,7,1927,880043,880095,1,2660,330.86,2,4,3,2,2,99,-52,1,0
98005,0,1979,714946,714913,1,1560,458.28,2,3,2,1,2,47,33,1,0
98118,7,1927,995085,964944,0.97,3120,309.28,2,5,3,3,2,99,30141,1.03,0.03
98329,7,2025,580010,579868,1,1540,376.54,1,3,2,2,2,1,142,1,0
98199,7,1928,1222787,1462187.5,1,2910,680.56,2,4,4,1,2,98,40,0.84,-0.16
98032,0,1996,499076,469944,0.96,1200,391.62,1,2,2,1,2,30,29132,1.06,0.06
98405,7,1950,529901,570092,1.03,1700,335.35,1,4,2,2,2,76,-33595,0.93,-0.07
98532,7,1977,475087,475055,1,1780,266.88,1,3,2,1,2,49,32,1,0
98922,7,1988,374912,364906,0.97,340,680.56,1,1.5,1,2,2,38,10006,1.03,0.03
98033,0,2025,1222787,1462187.5,0.96,2170,680.56,1,2,3,2,2,1,43901,0.84,-0.16
98188,0,1993,360090,349943,0.97,930,376.28,3,2,2,1,2,33,10147,1.03,0.03
98125,7,1954,775076,780087,1.01,1390,561.21,2,3,2,1,2,72,-5011,0.99,-0.01
98105,0,1949,320056,320055,1,600,533.42,1,1.5,1,1,2,77,1,1,0
98409,4,1978,89858,80078,0.96,1340,59.76,1,2,2,1,2,48,9780,1.12,0.12
98642,7,2025,724757,724926,1,2810,257.98,2,4,3,3,2,1,-169,1,0
98371,7,1956,485075,489940,1.01,1160,422.36,1,3,2,1,2,70,-4865,0.99,-0.01
99037,7,1964,399968,389858,0.97,3260,119.59,2,4,2,1,2,62,10110,1.03,0.03
98382,7,1999,559059,558929,1,1980,282.29,2,3,2,2,2,27,130,1,0
98203,7,1948,1149903,1225068,1.03,2970,412.48,1,3,3,1,2,78,-33595,0.94,-0.06
98038,7,2006,750039,749898,1,2020,371.24,2,3,3,2,2,20,141,1,0
98407,7,1938,1068082,1068073,1,3220,331.7,2,5,3,1,2,88,9,1,0
98665,7,1909,529930,529937,1,2420,218.98,3,3,3,3,2,117,-7,1,0
98248,7,1993,609909,610056,1,1530,398.73,1,3,2,1,2,33,-147,1,0
98625,4,1984,480077,479936,1,1800,266.63,1,3,2,2,2,42,141,1,0
98631,4,1995,450072,449949,1,1780,252.78,1,3,2,2,2,31,123,1,0
98682,3,1992,19878,19854,1,1810,324.3,2,3,2,2,2,34,24,1,0
99207,7,1955,360061,365100,1.01,1920,190.16,1,4,2,2,2,71,-5039,0.99,-0.01
99026,7,1981,799054,761932,0.96,3330,228.81,2,5,4,3,2,45,37122,1.05,0.05
